id,creature_name,category,species,subspecies,colouring,style,mood,motion_type,elemental_affinity,environment
668,Silverwing Beetle,Real,Insect,Beetle,Silver & gold,Naturalistic,Aggressive,Slow prowl,Code,Playground
669,Proud Silver Beetle,Real,Insect,Beetle,Silver & gold,Gothic,Proud,Roaring stance,Electric,Toybox
670,Proud Silver Beetle,Real,Insect,Beetle,Silver & gold,Gothic,Proud,Slow prowl,Gravity,Arcade
671,Silverwing Beetle,Real,Insect,Beetle,Silver & gold,Gothic,Aggressive,Roaring stance,Cosmic,Kitchen
672,Silverwing Beetle,Real,Insect,Beetle,Silver & gold,Gothic,Aggressive,Slow prowl,Earth,Server room
673,Dragonfly of Gold Naturalistic,Real,Insect,Dragonfly,Gold & brown,Naturalistic,Proud,Roaring stance,Fire,Cyberspace
674,Dragonfly of Gold Naturalistic,Real,Insect,Dragonfly,Gold & brown,Naturalistic,Proud,Slow prowl,Water,Skyscraper
675,The Aggressive Dragonfly,Real,Insect,Dragonfly,Gold & brown,Naturalistic,Aggressive,Roaring stance,Air,Terminal
676,The Aggressive Dragonfly,Real,Insect,Dragonfly,Gold & brown,Naturalistic,Aggressive,Slow prowl,Shadow,Grove
677,Goldwing Dragonfly,Real,Insect,Dragonfly,Gold & brown,Gothic,Proud,Roaring stance,Light,Nebula
678,Goldwing Dragonfly,Real,Insect,Dragonfly,Gold & brown,Gothic,Proud,Slow prowl,Nature,Void
679,The Aggressive Dragonfly,Real,Insect,Dragonfly,Gold & brown,Gothic,Aggressive,Roaring stance,Storm,Chronoscape
680,The Aggressive Dragonfly,Real,Insect,Dragonfly,Gold & brown,Gothic,Aggressive,Slow prowl,Ice,Chamber
681,Gold Naturalistic Dragonfly,Real,Insect,Dragonfly,Gold & flame,Naturalistic,Proud,Roaring stance,Lightning,Dimension Fold
682,Gold Naturalistic Dragonfly,Real,Insect,Dragonfly,Gold & flame,Naturalistic,Proud,Slow prowl,Spirit,Rift
683,Gold Naturalistic Dragonfly,Real,Insect,Dragonfly,Gold & flame,Naturalistic,Aggressive,Roaring stance,Time,Core
684,Gold Naturalistic Dragonfly,Real,Insect,Dragonfly,Gold & flame,Naturalistic,Aggressive,Slow prowl,Space,Prism
685,The Proud Dragonfly,Real,Insect,Dragonfly,Gold & flame,Gothic,Proud,Roaring stance,Void,Archive
686,The Proud Dragonfly,Real,Insect,Dragonfly,Gold & flame,Gothic,Proud,Slow prowl,Sound,Night sky
687,Gold Gothic Dragonfly,Real,Insect,Dragonfly,Gold & flame,Gothic,Aggressive,Roaring stance,Energy,Horizon
688,Gold Gothic Dragonfly,Real,Insect,Dragonfly,Gold & flame,Gothic,Aggressive,Slow prowl,Magic,Savannah
689,Dragonfly of Silver Naturalistic,Real,Insect,Dragonfly,Silver & gold,Naturalistic,Proud,Roaring stance,Code,Forest
690,Dragonfly of Silver Naturalistic,Real,Insect,Dragonfly,Silver & gold,Naturalistic,Proud,Slow prowl,Electric,Ocean
691,Naturalistic Dragonfly of Insect,Real,Insect,Dragonfly,Silver & gold,Naturalistic,Aggressive,Roaring stance,Gravity,Jungle
692,Naturalistic Dragonfly of Insect,Real,Insect,Dragonfly,Silver & gold,Naturalistic,Aggressive,Slow prowl,Cosmic,Desert
693,Silverwing Dragonfly,Real,Insect,Dragonfly,Silver & gold,Gothic,Proud,Roaring stance,Earth,Cliffs
694,Silverwing Dragonfly,Real,Insect,Dragonfly,Silver & gold,Gothic,Proud,Slow prowl,Fire,Garden
695,Aggressive Silver Dragonfly,Real,Insect,Dragonfly,Silver & gold,Gothic,Aggressive,Roaring stance,Water,Mountain
696,Aggressive Silver Dragonfly,Real,Insect,Dragonfly,Silver & gold,Gothic,Aggressive,Slow prowl,Air,Sky
697,Gold Naturalistic Moth,Real,Insect,Moth,Gold & brown,Naturalistic,Proud,Roaring stance,Shadow,Glade
698,Gold Naturalistic Moth,Real,Insect,Moth,Gold & brown,Naturalistic,Proud,Slow prowl,Light,Plateau
699,Gold Naturalistic Moth,Real,Insect,Moth,Gold & brown,Naturalistic,Aggressive,Roaring stance,Nature,Ruins
700,Gold Naturalistic Moth,Real,Insect,Moth,Gold & brown,Naturalistic,Aggressive,Slow prowl,Storm,Temple
701,Moth of Gold Gothic,Real,Insect,Moth,Gold & brown,Gothic,Proud,Roaring stance,Ice,Cave
702,Moth of Gold Gothic,Real,Insect,Moth,Gold & brown,Gothic,Proud,Slow prowl,Lightning,Volcano
703,Goldwing Moth,Real,Insect,Moth,Gold & brown,Gothic,Aggressive,Roaring stance,Spirit,Riverbank
704,Goldwing Moth,Real,Insect,Moth,Gold & brown,Gothic,Aggressive,Slow prowl,Time,Deep sea
705,The Proud Moth,Real,Insect,Moth,Gold & flame,Naturalistic,Proud,Roaring stance,Space,Reef
706,The Proud Moth,Real,Insect,Moth,Gold & flame,Naturalistic,Proud,Slow prowl,Void,Lagoon
707,Gold Naturalistic Moth,Real,Insect,Moth,Gold & flame,Naturalistic,Aggressive,Roaring stance,Sound,Tower
708,Gold Naturalistic Moth,Real,Insect,Moth,Gold & flame,Naturalistic,Aggressive,Slow prowl,Energy,Shrine
709,Moth of Gold Gothic,Real,Insect,Moth,Gold & flame,Gothic,Proud,Roaring stance,Magic,Sacred Grove
710,Moth of Gold Gothic,Real,Insect,Moth,Gold & flame,Gothic,Proud,Slow prowl,Code,Marsh
711,Gold Gothic Moth,Real,Insect,Moth,Gold & flame,Gothic,Aggressive,Roaring stance,Electric,Playground
712,Gold Gothic Moth,Real,Insect,Moth,Gold & flame,Gothic,Aggressive,Slow prowl,Gravity,Toybox
713,The Proud Moth,Real,Insect,Moth,Silver & gold,Naturalistic,Proud,Roaring stance,Cosmic,Arcade
714,The Proud Moth,Real,Insect,Moth,Silver & gold,Naturalistic,Proud,Slow prowl,Earth,Kitchen
715,The Aggressive Moth,Real,Insect,Moth,Silver & gold,Naturalistic,Aggressive,Roaring stance,Fire,Server room
716,The Aggressive Moth,Real,Insect,Moth,Silver & gold,Naturalistic,Aggressive,Slow prowl,Water,Cyberspace
717,Proud Silver Moth,Real,Insect,Moth,Silver & gold,Gothic,Proud,Roaring stance,Air,Skyscraper
718,Proud Silver Moth,Real,Insect,Moth,Silver & gold,Gothic,Proud,Slow prowl,Shadow,Terminal
719,Aggressive Silver Moth,Real,Insect,Moth,Silver & gold,Gothic,Aggressive,Roaring stance,Light,Grove
720,Aggressive Silver Moth,Real,Insect,Moth,Silver & gold,Gothic,Aggressive,Slow prowl,Nature,Nebula
721,Naturalistic Bee of Insect,Real,Insect,Bee,Gold & brown,Naturalistic,Proud,Roaring stance,Storm,Void
722,Naturalistic Bee of Insect,Real,Insect,Bee,Gold & brown,Naturalistic,Proud,Slow prowl,Ice,Chronoscape
723,Bee of Gold Naturalistic,Real,Insect,Bee,Gold & brown,Naturalistic,Aggressive,Roaring stance,Lightning,Chamber
724,Bee of Gold Naturalistic,Real,Insect,Bee,Gold & brown,Naturalistic,Aggressive,Slow prowl,Spirit,Dimension Fold
725,Gothic Bee of Insect,Real,Insect,Bee,Gold & brown,Gothic,Proud,Roaring stance,Time,Rift
726,Gothic Bee of Insect,Real,Insect,Bee,Gold & brown,Gothic,Proud,Slow prowl,Space,Core
727,Gold Gothic Bee,Real,Insect,Bee,Gold & brown,Gothic,Aggressive,Roaring stance,Void,Prism
728,Gold Gothic Bee,Real,Insect,Bee,Gold & brown,Gothic,Aggressive,Slow prowl,Sound,Archive
729,Gold Naturalistic Bee,Real,Insect,Bee,Gold & flame,Naturalistic,Proud,Roaring stance,Energy,Night sky
730,Gold Naturalistic Bee,Real,Insect,Bee,Gold & flame,Naturalistic,Proud,Slow prowl,Magic,Horizon
731,The Aggressive Bee,Real,Insect,Bee,Gold & flame,Naturalistic,Aggressive,Roaring stance,Code,Savannah
732,The Aggressive Bee,Real,Insect,Bee,Gold & flame,Naturalistic,Aggressive,Slow prowl,Electric,Forest
733,Gold Gothic Bee,Real,Insect,Bee,Gold & flame,Gothic,Proud,Roaring stance,Gravity,Ocean
734,Gold Gothic Bee,Real,Insect,Bee,Gold & flame,Gothic,Proud,Slow prowl,Cosmic,Jungle
735,Gold Gothic Bee,Real,Insect,Bee,Gold & flame,Gothic,Aggressive,Roaring stance,Earth,Desert
736,Gold Gothic Bee,Real,Insect,Bee,Gold & flame,Gothic,Aggressive,Slow prowl,Fire,Cliffs
737,Silver Naturalistic Bee,Real,Insect,Bee,Silver & gold,Naturalistic,Proud,Roaring stance,Water,Garden
738,Silver Naturalistic Bee,Real,Insect,Bee,Silver & gold,Naturalistic,Proud,Slow prowl,Air,Mountain
739,Aggressive Silver Bee,Real,Insect,Bee,Silver & gold,Naturalistic,Aggressive,Roaring stance,Shadow,Sky
740,Aggressive Silver Bee,Real,Insect,Bee,Silver & gold,Naturalistic,Aggressive,Slow prowl,Light,Glade
741,Silverwing Bee,Real,Insect,Bee,Silver & gold,Gothic,Proud,Roaring stance,Nature,Plateau
742,Silverwing Bee,Real,Insect,Bee,Silver & gold,Gothic,Proud,Slow prowl,Storm,Ruins
743,Silverwing Bee,Real,Insect,Bee,Silver & gold,Gothic,Aggressive,Roaring stance,Ice,Temple
744,Silverwing Bee,Real,Insect,Bee,Silver & gold,Gothic,Aggressive,Slow prowl,Lightning,Cave
745,Gold Naturalistic Ant,Real,Insect,Ant,Gold & brown,Naturalistic,Proud,Roaring stance,Spirit,Volcano
746,Gold Naturalistic Ant,Real,Insect,Ant,Gold & brown,Naturalistic,Proud,Slow prowl,Time,Riverbank
747,Goldwing Ant,Real,Insect,Ant,Gold & brown,Naturalistic,Aggressive,Roaring stance,Space,Deep sea
748,Goldwing Ant,Real,Insect,Ant,Gold & brown,Naturalistic,Aggressive,Slow prowl,Void,Reef
749,Gold Gothic Ant,Real,Insect,Ant,Gold & brown,Gothic,Proud,Roaring stance,Sound,Lagoon
750,Gold Gothic Ant,Real,Insect,Ant,Gold & brown,Gothic,Proud,Slow prowl,Energy,Tower
751,Ant of Gold Gothic,Real,Insect,Ant,Gold & brown,Gothic,Aggressive,Roaring stance,Magic,Shrine
752,Ant of Gold Gothic,Real,Insect,Ant,Gold & brown,Gothic,Aggressive,Slow prowl,Code,Sacred Grove
753,The Proud Ant,Real,Insect,Ant,Gold & flame,Naturalistic,Proud,Roaring stance,Electric,Marsh
754,The Proud Ant,Real,Insect,Ant,Gold & flame,Naturalistic,Proud,Slow prowl,Gravity,Playground
755,The Aggressive Ant,Real,Insect,Ant,Gold & flame,Naturalistic,Aggressive,Roaring stance,Cosmic,Toybox
756,The Aggressive Ant,Real,Insect,Ant,Gold & flame,Naturalistic,Aggressive,Slow prowl,Earth,Arcade
757,Gothic Ant of Insect,Real,Insect,Ant,Gold & flame,Gothic,Proud,Roaring stance,Fire,Kitchen
758,Gothic Ant of Insect,Real,Insect,Ant,Gold & flame,Gothic,Proud,Slow prowl,Water,Server room
759,Aggressive Gold Ant,Real,Insect,Ant,Gold & flame,Gothic,Aggressive,Roaring stance,Air,Cyberspace
760,Aggressive Gold Ant,Real,Insect,Ant,Gold & flame,Gothic,Aggressive,Slow prowl,Shadow,Skyscraper
761,The Proud Ant,Real,Insect,Ant,Silver & gold,Naturalistic,Proud,Roaring stance,Light,Terminal
762,The Proud Ant,Real,Insect,Ant,Silver & gold,Naturalistic,Proud,Slow prowl,Nature,Grove
763,Silver Naturalistic Ant,Real,Insect,Ant,Silver & gold,Naturalistic,Aggressive,Roaring stance,Storm,Nebula
764,Silver Naturalistic Ant,Real,Insect,Ant,Silver & gold,Naturalistic,Aggressive,Slow prowl,Ice,Void
765,The Proud Ant,Real,Insect,Ant,Silver & gold,Gothic,Proud,Roaring stance,Lightning,Chronoscape
766,The Proud Ant,Real,Insect,Ant,Silver & gold,Gothic,Proud,Slow prowl,Spirit,Chamber
767,Ant of Silver Gothic,Real,Insect,Ant,Silver & gold,Gothic,Aggressive,Roaring stance,Time,Dimension Fold
768,Ant of Silver Gothic,Real,Insect,Ant,Silver & gold,Gothic,Aggressive,Slow prowl,Space,Rift
769,Goldwing Fire Dragon,Mythical,Dragon,Fire Dragon,Gold & brown,Naturalistic,Proud,Roaring stance,Void,Core
770,Goldwing Fire Dragon,Mythical,Dragon,Fire Dragon,Gold & brown,Naturalistic,Proud,Slow prowl,Sound,Prism
771,The Aggressive Fire Dragon,Mythical,Dragon,Fire Dragon,Gold & brown,Naturalistic,Aggressive,Roaring stance,Energy,Archive
772,The Aggressive Fire Dragon,Mythical,Dragon,Fire Dragon,Gold & brown,Naturalistic,Aggressive,Slow prowl,Magic,Night sky
773,Gold Gothic Fire Dragon,Mythical,Dragon,Fire Dragon,Gold & brown,Gothic,Proud,Roaring stance,Code,Horizon
774,Gold Gothic Fire Dragon,Mythical,Dragon,Fire Dragon,Gold & brown,Gothic,Proud,Slow prowl,Electric,Savannah
775,Gold Gothic Fire Dragon,Mythical,Dragon,Fire Dragon,Gold & brown,Gothic,Aggressive,Roaring stance,Gravity,Forest
776,Gold Gothic Fire Dragon,Mythical,Dragon,Fire Dragon,Gold & brown,Gothic,Aggressive,Slow prowl,Cosmic,Ocean
777,Proud Gold Fire Dragon,Mythical,Dragon,Fire Dragon,Gold & flame,Naturalistic,Proud,Roaring stance,Earth,Jungle
778,Proud Gold Fire Dragon,Mythical,Dragon,Fire Dragon,Gold & flame,Naturalistic,Proud,Slow prowl,Fire,Desert
779,Aggressive Gold Fire Dragon,Mythical,Dragon,Fire Dragon,Gold & flame,Naturalistic,Aggressive,Roaring stance,Water,Cliffs
780,Aggressive Gold Fire Dragon,Mythical,Dragon,Fire Dragon,Gold & flame,Naturalistic,Aggressive,Slow prowl,Air,Garden
781,Proud Gold Fire Dragon,Mythical,Dragon,Fire Dragon,Gold & flame,Gothic,Proud,Roaring stance,Shadow,Mountain
782,Proud Gold Fire Dragon,Mythical,Dragon,Fire Dragon,Gold & flame,Gothic,Proud,Slow prowl,Light,Sky
783,Gold Gothic Fire Dragon,Mythical,Dragon,Fire Dragon,Gold & flame,Gothic,Aggressive,Roaring stance,Nature,Glade
784,Gold Gothic Fire Dragon,Mythical,Dragon,Fire Dragon,Gold & flame,Gothic,Aggressive,Slow prowl,Storm,Plateau
785,Silverwing Fire Dragon,Mythical,Dragon,Fire Dragon,Silver & gold,Naturalistic,Proud,Roaring stance,Ice,Ruins
786,Silverwing Fire Dragon,Mythical,Dragon,Fire Dragon,Silver & gold,Naturalistic,Proud,Slow prowl,Lightning,Temple
787,The Aggressive Fire Dragon,Mythical,Dragon,Fire Dragon,Silver & gold,Naturalistic,Aggressive,Roaring stance,Spirit,Cave
788,The Aggressive Fire Dragon,Mythical,Dragon,Fire Dragon,Silver & gold,Naturalistic,Aggressive,Slow prowl,Time,Volcano
789,Fire Dragon of Silver Gothic,Mythical,Dragon,Fire Dragon,Silver & gold,Gothic,Proud,Roaring stance,Space,Riverbank
790,Fire Dragon of Silver Gothic,Mythical,Dragon,Fire Dragon,Silver & gold,Gothic,Proud,Slow prowl,Void,Deep sea
791,Aggressive Silver Fire Dragon,Mythical,Dragon,Fire Dragon,Silver & gold,Gothic,Aggressive,Roaring stance,Sound,Reef
792,Aggressive Silver Fire Dragon,Mythical,Dragon,Fire Dragon,Silver & gold,Gothic,Aggressive,Slow prowl,Energy,Lagoon
793,Proud Gold Ice Dragon,Mythical,Dragon,Ice Dragon,Gold & brown,Naturalistic,Proud,Roaring stance,Magic,Tower
794,Proud Gold Ice Dragon,Mythical,Dragon,Ice Dragon,Gold & brown,Naturalistic,Proud,Slow prowl,Code,Shrine
795,Aggressive Gold Ice Dragon,Mythical,Dragon,Ice Dragon,Gold & brown,Naturalistic,Aggressive,Roaring stance,Electric,Sacred Grove
796,Aggressive Gold Ice Dragon,Mythical,Dragon,Ice Dragon,Gold & brown,Naturalistic,Aggressive,Slow prowl,Gravity,Marsh
797,Ice Dragon of Gold Gothic,Mythical,Dragon,Ice Dragon,Gold & brown,Gothic,Proud,Roaring stance,Cosmic,Playground
798,Ice Dragon of Gold Gothic,Mythical,Dragon,Ice Dragon,Gold & brown,Gothic,Proud,Slow prowl,Earth,Toybox
799,Aggressive Gold Ice Dragon,Mythical,Dragon,Ice Dragon,Gold & brown,Gothic,Aggressive,Roaring stance,Fire,Arcade
800,Aggressive Gold Ice Dragon,Mythical,Dragon,Ice Dragon,Gold & brown,Gothic,Aggressive,Slow prowl,Water,Kitchen
801,Ice Dragon of Gold Naturalistic,Mythical,Dragon,Ice Dragon,Gold & flame,Naturalistic,Proud,Roaring stance,Air,Server room
802,Ice Dragon of Gold Naturalistic,Mythical,Dragon,Ice Dragon,Gold & flame,Naturalistic,Proud,Slow prowl,Shadow,Cyberspace
803,Gold Naturalistic Ice Dragon,Mythical,Dragon,Ice Dragon,Gold & flame,Naturalistic,Aggressive,Roaring stance,Light,Skyscraper
804,Gold Naturalistic Ice Dragon,Mythical,Dragon,Ice Dragon,Gold & flame,Naturalistic,Aggressive,Slow prowl,Nature,Terminal
805,Gold Gothic Ice Dragon,Mythical,Dragon,Ice Dragon,Gold & flame,Gothic,Proud,Roaring stance,Storm,Grove
806,Gold Gothic Ice Dragon,Mythical,Dragon,Ice Dragon,Gold & flame,Gothic,Proud,Slow prowl,Ice,Nebula
807,Ice Dragon of Gold Gothic,Mythical,Dragon,Ice Dragon,Gold & flame,Gothic,Aggressive,Roaring stance,Lightning,Void
808,Ice Dragon of Gold Gothic,Mythical,Dragon,Ice Dragon,Gold & flame,Gothic,Aggressive,Slow prowl,Spirit,Chronoscape
809,Proud Silver Ice Dragon,Mythical,Dragon,Ice Dragon,Silver & gold,Naturalistic,Proud,Roaring stance,Time,Chamber
810,Proud Silver Ice Dragon,Mythical,Dragon,Ice Dragon,Silver & gold,Naturalistic,Proud,Slow prowl,Space,Dimension Fold
811,Naturalistic Ice Dragon of Dragon,Mythical,Dragon,Ice Dragon,Silver & gold,Naturalistic,Aggressive,Roaring stance,Void,Rift
812,Naturalistic Ice Dragon of Dragon,Mythical,Dragon,Ice Dragon,Silver & gold,Naturalistic,Aggressive,Slow prowl,Sound,Core
813,Proud Silver Ice Dragon,Mythical,Dragon,Ice Dragon,Silver & gold,Gothic,Proud,Roaring stance,Energy,Prism
814,Proud Silver Ice Dragon,Mythical,Dragon,Ice Dragon,Silver & gold,Gothic,Proud,Slow prowl,Magic,Archive
815,Silver Gothic Ice Dragon,Mythical,Dragon,Ice Dragon,Silver & gold,Gothic,Aggressive,Roaring stance,Code,Night sky
816,Silver Gothic Ice Dragon,Mythical,Dragon,Ice Dragon,Silver & gold,Gothic,Aggressive,Slow prowl,Electric,Horizon
817,Gold Naturalistic Storm Dragon,Mythical,Dragon,Storm Dragon,Gold & brown,Naturalistic,Proud,Roaring stance,Gravity,Savannah
818,Gold Naturalistic Storm Dragon,Mythical,Dragon,Storm Dragon,Gold & brown,Naturalistic,Proud,Slow prowl,Cosmic,Forest
819,Goldwing Storm Dragon,Mythical,Dragon,Storm Dragon,Gold & brown,Naturalistic,Aggressive,Roaring stance,Earth,Ocean
820,Goldwing Storm Dragon,Mythical,Dragon,Storm Dragon,Gold & brown,Naturalistic,Aggressive,Slow prowl,Fire,Jungle
821,Proud Gold Storm Dragon,Mythical,Dragon,Storm Dragon,Gold & brown,Gothic,Proud,Roaring stance,Water,Desert
822,Proud Gold Storm Dragon,Mythical,Dragon,Storm Dragon,Gold & brown,Gothic,Proud,Slow prowl,Air,Cliffs
823,Gothic Storm Dragon of Dragon,Mythical,Dragon,Storm Dragon,Gold & brown,Gothic,Aggressive,Roaring stance,Shadow,Garden
824,Gothic Storm Dragon of Dragon,Mythical,Dragon,Storm Dragon,Gold & brown,Gothic,Aggressive,Slow prowl,Light,Mountain
825,Storm Dragon of Gold Naturalistic,Mythical,Dragon,Storm Dragon,Gold & flame,Naturalistic,Proud,Roaring stance,Nature,Sky
826,Storm Dragon of Gold Naturalistic,Mythical,Dragon,Storm Dragon,Gold & flame,Naturalistic,Proud,Slow prowl,Storm,Glade
827,Naturalistic Storm Dragon of Dragon,Mythical,Dragon,Storm Dragon,Gold & flame,Naturalistic,Aggressive,Roaring stance,Ice,Plateau
828,Naturalistic Storm Dragon of Dragon,Mythical,Dragon,Storm Dragon,Gold & flame,Naturalistic,Aggressive,Slow prowl,Lightning,Ruins
829,Gothic Storm Dragon of Dragon,Mythical,Dragon,Storm Dragon,Gold & flame,Gothic,Proud,Roaring stance,Spirit,Temple
830,Gothic Storm Dragon of Dragon,Mythical,Dragon,Storm Dragon,Gold & flame,Gothic,Proud,Slow prowl,Time,Cave
831,The Aggressive Storm Dragon,Mythical,Dragon,Storm Dragon,Gold & flame,Gothic,Aggressive,Roaring stance,Space,Volcano
832,The Aggressive Storm Dragon,Mythical,Dragon,Storm Dragon,Gold & flame,Gothic,Aggressive,Slow prowl,Void,Riverbank
833,Storm Dragon of Silver Naturalistic,Mythical,Dragon,Storm Dragon,Silver & gold,Naturalistic,Proud,Roaring stance,Sound,Deep sea
834,Storm Dragon of Silver Naturalistic,Mythical,Dragon,Storm Dragon,Silver & gold,Naturalistic,Proud,Slow prowl,Energy,Reef
835,Storm Dragon of Silver Naturalistic,Mythical,Dragon,Storm Dragon,Silver & gold,Naturalistic,Aggressive,Roaring stance,Magic,Lagoon
836,Storm Dragon of Silver Naturalistic,Mythical,Dragon,Storm Dragon,Silver & gold,Naturalistic,Aggressive,Slow prowl,Code,Tower
837,Silverwing Storm Dragon,Mythical,Dragon,Storm Dragon,Silver & gold,Gothic,Proud,Roaring stance,Electric,Shrine
838,Silverwing Storm Dragon,Mythical,Dragon,Storm Dragon,Silver & gold,Gothic,Proud,Slow prowl,Gravity,Sacred Grove
839,Silverwing Storm Dragon,Mythical,Dragon,Storm Dragon,Silver & gold,Gothic,Aggressive,Roaring stance,Cosmic,Marsh
840,Silverwing Storm Dragon,Mythical,Dragon,Storm Dragon,Silver & gold,Gothic,Aggressive,Slow prowl,Earth,Playground
841,The Proud Shadow Dragon,Mythical,Dragon,Shadow Dragon,Gold & brown,Naturalistic,Proud,Roaring stance,Fire,Toybox
842,The Proud Shadow Dragon,Mythical,Dragon,Shadow Dragon,Gold & brown,Naturalistic,Proud,Slow prowl,Water,Arcade
843,Naturalistic Shadow Dragon of Dragon,Mythical,Dragon,Shadow Dragon,Gold & brown,Naturalistic,Aggressive,Roaring stance,Air,Kitchen
844,Naturalistic Shadow Dragon of Dragon,Mythical,Dragon,Shadow Dragon,Gold & brown,Naturalistic,Aggressive,Slow prowl,Shadow,Server room
845,Proud Gold Shadow Dragon,Mythical,Dragon,Shadow Dragon,Gold & brown,Gothic,Proud,Roaring stance,Light,Cyberspace
846,Proud Gold Shadow Dragon,Mythical,Dragon,Shadow Dragon,Gold & brown,Gothic,Proud,Slow prowl,Nature,Skyscraper
847,Shadow Dragon of Gold Gothic,Mythical,Dragon,Shadow Dragon,Gold & brown,Gothic,Aggressive,Roaring stance,Storm,Terminal
848,Shadow Dragon of Gold Gothic,Mythical,Dragon,Shadow Dragon,Gold & brown,Gothic,Aggressive,Slow prowl,Ice,Grove
849,Naturalistic Shadow Dragon of Dragon,Mythical,Dragon,Shadow Dragon,Gold & flame,Naturalistic,Proud,Roaring stance,Lightning,Nebula
850,Naturalistic Shadow Dragon of Dragon,Mythical,Dragon,Shadow Dragon,Gold & flame,Naturalistic,Proud,Slow prowl,Spirit,Void
851,Gold Naturalistic Shadow Dragon,Mythical,Dragon,Shadow Dragon,Gold & flame,Naturalistic,Aggressive,Roaring stance,Time,Chronoscape
852,Gold Naturalistic Shadow Dragon,Mythical,Dragon,Shadow Dragon,Gold & flame,Naturalistic,Aggressive,Slow prowl,Space,Chamber
853,Gold Gothic Shadow Dragon,Mythical,Dragon,Shadow Dragon,Gold & flame,Gothic,Proud,Roaring stance,Void,Dimension Fold
854,Gold Gothic Shadow Dragon,Mythical,Dragon,Shadow Dragon,Gold & flame,Gothic,Proud,Slow prowl,Sound,Rift
855,Goldwing Shadow Dragon,Mythical,Dragon,Shadow Dragon,Gold & flame,Gothic,Aggressive,Roaring stance,Energy,Core
856,Goldwing Shadow Dragon,Mythical,Dragon,Shadow Dragon,Gold & flame,Gothic,Aggressive,Slow prowl,Magic,Prism
857,Naturalistic Shadow Dragon of Dragon,Mythical,Dragon,Shadow Dragon,Silver & gold,Naturalistic,Proud,Roaring stance,Code,Archive
858,Naturalistic Shadow Dragon of Dragon,Mythical,Dragon,Shadow Dragon,Silver & gold,Naturalistic,Proud,Slow prowl,Electric,Night sky
859,Silver Naturalistic Shadow Dragon,Mythical,Dragon,Shadow Dragon,Silver & gold,Naturalistic,Aggressive,Roaring stance,Gravity,Horizon
860,Silver Naturalistic Shadow Dragon,Mythical,Dragon,Shadow Dragon,Silver & gold,Naturalistic,Aggressive,Slow prowl,Cosmic,Savannah
861,Proud Silver Shadow Dragon,Mythical,Dragon,Shadow Dragon,Silver & gold,Gothic,Proud,Roaring stance,Earth,Forest
862,Proud Silver Shadow Dragon,Mythical,Dragon,Shadow Dragon,Silver & gold,Gothic,Proud,Slow prowl,Fire,Ocean
863,The Aggressive Shadow Dragon,Mythical,Dragon,Shadow Dragon,Silver & gold,Gothic,Aggressive,Roaring stance,Water,Jungle
864,The Aggressive Shadow Dragon,Mythical,Dragon,Shadow Dragon,Silver & gold,Gothic,Aggressive,Slow prowl,Air,Desert
865,Crystal Dragon of Gold Naturalistic,Mythical,Dragon,Crystal Dragon,Gold & brown,Naturalistic,Proud,Roaring stance,Shadow,Cliffs
866,Crystal Dragon of Gold Naturalistic,Mythical,Dragon,Crystal Dragon,Gold & brown,Naturalistic,Proud,Slow prowl,Light,Garden
867,The Aggressive Crystal Dragon,Mythical,Dragon,Crystal Dragon,Gold & brown,Naturalistic,Aggressive,Roaring stance,Nature,Mountain
868,The Aggressive Crystal Dragon,Mythical,Dragon,Crystal Dragon,Gold & brown,Naturalistic,Aggressive,Slow prowl,Storm,Sky
869,Proud Gold Crystal Dragon,Mythical,Dragon,Crystal Dragon,Gold & brown,Gothic,Proud,Roaring stance,Ice,Glade
870,Proud Gold Crystal Dragon,Mythical,Dragon,Crystal Dragon,Gold & brown,Gothic,Proud,Slow prowl,Lightning,Plateau
871,Goldwing Crystal Dragon,Mythical,Dragon,Crystal Dragon,Gold & brown,Gothic,Aggressive,Roaring stance,Spirit,Ruins
872,Goldwing Crystal Dragon,Mythical,Dragon,Crystal Dragon,Gold & brown,Gothic,Aggressive,Slow prowl,Time,Temple
873,Goldwing Crystal Dragon,Mythical,Dragon,Crystal Dragon,Gold & flame,Naturalistic,Proud,Roaring stance,Space,Cave
874,Goldwing Crystal Dragon,Mythical,Dragon,Crystal Dragon,Gold & flame,Naturalistic,Proud,Slow prowl,Void,Volcano
875,Gold Naturalistic Crystal Dragon,Mythical,Dragon,Crystal Dragon,Gold & flame,Naturalistic,Aggressive,Roaring stance,Sound,Riverbank
876,Gold Naturalistic Crystal Dragon,Mythical,Dragon,Crystal Dragon,Gold & flame,Naturalistic,Aggressive,Slow prowl,Energy,Deep sea
877,The Proud Crystal Dragon,Mythical,Dragon,Crystal Dragon,Gold & flame,Gothic,Proud,Roaring stance,Magic,Reef
878,The Proud Crystal Dragon,Mythical,Dragon,Crystal Dragon,Gold & flame,Gothic,Proud,Slow prowl,Code,Lagoon
879,Crystal Dragon of Gold Gothic,Mythical,Dragon,Crystal Dragon,Gold & flame,Gothic,Aggressive,Roaring stance,Electric,Tower
880,Crystal Dragon of Gold Gothic,Mythical,Dragon,Crystal Dragon,Gold & flame,Gothic,Aggressive,Slow prowl,Gravity,Shrine
881,The Proud Crystal Dragon,Mythical,Dragon,Crystal Dragon,Silver & gold,Naturalistic,Proud,Roaring stance,Cosmic,Sacred Grove
